trial_overall,noise_level,block,presented_pn_ratio,qp_update_intensity,presented_tone_power,correct_interval,response_interval,response_key,is_correct,rt,timestamp
1,1.44,practice,0.3,0.3,0.432,1,1,1,True,0.059355582983698696,1743653976.979489
2,0.64,practice,0.3,0.3,0.192,2,2,2,True,0.32847574999323115,1743653981.2449
3,1.44,practice,0.14176460767946575,0.14176460767946575,0.20414103505843068,1,1,1,True,0.3020385419949889,1743653987.193386
4,0.64,practice,0.14176460767946575,0.14176460767946575,0.09072934891485808,2,2,2,True,0.07258329098112881,1743653992.6386402
5,1.44,practice,0.11730550918196994,0.11730550918196994,0.16891993322203672,2,2,2,True,0.1519211659906432,1743653998.0320609
6,0.64,practice,0.11730550918196994,0.11730550918196994,0.07507552587646077,2,2,2,True,0.11191799998050556,1743654003.582537
7,1.44,main,0.0928464106844741,0.0928464106844741,0.1336988313856427,2,2,2,True,0.17856495798332617,1743654010.1855721
8,1.44,main,0.07387813021702837,0.07387813021702837,0.10638450751252085,2,2,2,True,0.2729305839748122,1743654015.068994
9,0.64,main,0.0928464106844741,0.0928464106844741,0.05942170283806343,1,1,1,True,0.241655207995791,1743654020.003674
10,0.64,main,0.07387813021702837,0.07387813021702837,0.047282003338898156,1,1,1,True,0.39816804201109335,1743654025.265732
11,1.44,main,0.05840400667779632,0.05840400667779632,0.0841017696160267,2,2,2,True,0.3108911670278758,1743654030.224857
12,1.44,main,0.04642404006677796,0.04642404006677796,0.06685061769616026,1,1,1,True,0.2122353749582544,1743654034.9668531
13,1.44,main,0.03693989983305509,0.03693989983305509,0.05319345575959933,2,2,2,True,0.2993197090108879,1743654040.1265202
14,1.44,main,0.029452420701168613,0.029452420701168613,0.0424114858096828,2,2,2,True,0.30585766601143405,1743654044.971128
15,1.44,main,0.02346243739565943,0.02346243739565943,0.03378590984974958,2,1,1,False,0.2869054159964435,1743654049.9478981
16,0.64,main,0.05840400667779632,0.05840400667779632,0.03737856427378965,1,1,1,True,0.33640808396739885,1743654054.908021
17,1.44,main,0.043928213689482465,0.043928213689482465,0.06325662771285474,2,2,2,True,0.33122591697610915,1743654060.0785952
18,1.44,main,0.03893656093489148,0.03893656093489148,0.056068647746243726,1,1,1,True,0.3989259580266662,1743654065.269585
19,0.64,main,0.04642404006677796,0.04642404006677796,0.029711385642737894,2,2,2,True,0.312202500004787,1743654070.291601
20,0.64,main,0.03693989983305509,0.03693989983305509,0.023641535893155256,1,1,1,True,0.18973745801486075,1743654075.2797859
21,1.44,main,0.035442404006677794,0.035442404006677794,0.05103706176961602,2,2,2,True,0.23787979199551046,1743654080.3109262
22,1.44,main,0.0329465776293823,0.0329465776293823,0.04744307178631051,1,1,1,True,0.16009104100521654,1743654085.141629
23,1.44,main,0.030949916527545907,0.030949916527545907,0.0445678797996661,1,1,1,True,0.3449147919891402,1743654090.1188211
24,0.64,main,0.029452420701168613,0.029452420701168613,0.01884954924874791,1,1,1,True,0.7876045419834554,1743654095.538002
25,0.64,main,0.02346243739565943,0.02346243739565943,0.015015959933222037,1,1,1,True,0.30777495802612975,1743654100.572238
26,1.44,main,0.029951585976627712,0.029951585976627712,0.04313028380634391,2,2,2,True,0.1934462920180522,1743654105.470392
27,0.64,main,0.018470784641068445,0.018470784641068445,0.011821302170283805,1,1,1,True,0.18572020798455924,1743654110.342704
28,1.44,main,0.028454090150250414,0.028454090150250414,0.0409738898163606,1,1,1,True,0.43406850000610575,1743654115.5226612
29,0.64,main,0.014976627712854757,0.014976627712854757,0.009585041736227045,1,1,1,True,0.280074207985308,1743654120.563621
30,1.44,main,0.02695659432387312,0.02695659432387312,0.03881749582637729,2,2,2,True,0.3227677500108257,1743654125.65417
31,1.44,main,0.025459098497495825,0.025459098497495825,0.03666110183639399,2,1,1,False,0.1970490420353599,1743654130.4763021
32,0.64,main,0.011981636060100165,0.011981636060100165,0.0076682470784641054,1,1,1,True,0.18603195896139368,1743654135.3318772
33,1.44,main,0.030949916527545907,0.030949916527545907,0.0445678797996661,1,2,2,False,0.12403237499529496,1743654140.238861
34,1.44,main,0.037439065108514184,0.037439065108514184,0.05391225375626042,2,2,2,True,0.11824066698318347,1743654145.045469
35,1.44,main,0.03594156928213689,0.03594156928213689,0.05175585976627712,2,2,2,True,0.1693000000086613,1743654149.7894452
36,0.64,main,0.009485809682804675,0.009485809682804675,0.006070918196994992,2,1,1,False,0.37719074997585267,1743654154.960186
37,0.64,main,0.01747245409015025,0.01747245409015025,0.01118237061769616,2,2,2,True,0.30850079096853733,1743654160.064835
38,1.44,main,0.0349432387312187,0.0349432387312187,0.050318263772954924,1,1,1,True,0.1146852079546079,1743654164.819967
39,0.64,main,0.015974958263772952,0.015974958263772952,0.01022397328881469,1,1,1,True,0.12875083298422396,1743654175.047446
40,0.64,main,0.014477462437395658,0.014477462437395658,0.009265575959933221,2,1,1,False,0.4611620419891551,1743654180.248231
41,0.64,main,0.02096661101836394,0.02096661101836394,0.013418631051752922,1,1,1,True,0.31926133402157575,1743654185.2827919
42,1.44,main,0.0339449081803005,0.0339449081803005,0.048880667779632715,1,1,1,True,0.12124187499284744,1743654190.033658
43,1.44,main,0.0329465776293823,0.0329465776293823,0.04744307178631051,2,2,2,True,0.11923866701545194,1743654194.866577
44,0.64,main,0.01996828046744574,0.01996828046744574,0.012779699499165274,1,1,1,True,0.3692536659655161,1743654199.843798
45,0.64,main,0.018470784641068445,0.018470784641068445,0.011821302170283805,1,1,1,True,0.09358145901933312,1743654204.6966348
46,1.44,main,0.0319482470784641,0.0319482470784641,0.046005475792988304,1,1,1,True,0.11552241700701416,1743654209.4685419
47,1.44,main,0.030949916527545907,0.030949916527545907,0.0445678797996661,2,2,2,True,0.16840508300811052,1743654214.209773
48,1.44,main,0.029951585976627712,0.029951585976627712,0.04313028380634391,2,2,2,True,0.1389507080311887,1743654219.117398
49,0.64,main,0.01747245409015025,0.01747245409015025,0.01118237061769616,2,2,2,True,0.23001470795134082,1743654224.031442
50,0.64,main,0.01697328881469115,0.01697328881469115,0.010862904841402336,1,1,1,True,0.9783871669787914,1743654229.745575
51,1.44,main,0.028953255425709513,0.028953255425709513,0.0416926878130217,2,2,2,True,0.16086862498195842,1743654234.550554
52,1.44,main,0.028454090150250414,0.028454090150250414,0.0409738898163606,1,1,1,True,0.13933695800369605,1743654239.347732
53,0.64,main,0.015974958263772952,0.015974958263772952,0.01022397328881469,2,2,2,True,0.14225329097826034,1743654244.236481
54,0.64,main,0.015475792988313856,0.015475792988313856,0.009904507512520868,1,1,1,True,0.49957141699269414,1743654249.245496
55,0.64,main,0.013479131886477463,0.013479131886477463,0.008626644407345577,1,1,1,True,0.2952167500043288,1743654254.1539872
56,0.64,main,0.012979966611018363,0.012979966611018363,0.008307178631051753,2,1,1,False,0.13607979199150577,1743654259.000237
57,1.44,main,0.027954924874791315,0.027954924874791315,0.04025509181969949,2,2,2,True,0.22481608303496614,1743654263.781513
58,0.64,main,0.01647412353923205,0.01647412353923205,0.010543439065108514,2,2,2,True,0.21739312499994412,1743654268.620777
59,1.44,main,0.02745575959933222,0.02745575959933222,0.039536293823038395,2,2,2,True,0.17725012503797188,1743654273.455895
60,0.64,main,0.015974958263772952,0.015974958263772952,0.01022397328881469,1,1,1,True,1.1033161660307087,1743654279.096096
61,0.64,main,0.015974958263772952,0.015974958263772952,0.01022397328881469,1,2,2,False,0.514914708037395,1743654284.278913
62,1.44,main,0.02695659432387312,0.02695659432387312,0.03881749582637729,1,1,1,True,0.19351541699143127,1743654289.303242
63,1.44,main,0.02645742904841402,0.02645742904841402,0.038098697829716185,2,2,2,True,0.2012992919771932,1743654294.150142
64,0.64,main,0.01797161936560935,0.01797161936560935,0.011501836393989984,1,1,1,True,0.1885596250067465,1743654299.011481
65,0.64,main,0.01747245409015025,0.01747245409015025,0.01118237061769616,2,2,2,True,0.12835120799718425,1743654303.750759
66,1.44,main,0.022464106844741233,0.022464106844741233,0.03234831385642738,1,1,1,True,0.6547450420330279,1743654309.1166751
67,0.64,main,0.01747245409015025,0.01747245409015025,0.01118237061769616,2,2,2,True,0.27355825004633516,1743654313.9182148
68,0.64,main,0.01697328881469115,0.01697328881469115,0.010862904841402336,1,1,1,True,3.0084011249709874,1743654321.6967292
69,0.64,main,0.01697328881469115,0.01697328881469115,0.010862904841402336,1,1,1,True,0.26042841700837016,1743654326.8702679
70,0.64,main,0.01647412353923205,0.01647412353923205,0.010543439065108514,1,1,1,True,0.49559816595865414,1743654332.100327
